X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,Y house price of unit area
146.1187215,2.616477968,200,64.5106383
89.04109589,9.451100729,180,71.82978723
60.73059361,17.32375712,100,80.5106383
60.73059361,17.32375712,100,93.27659574
22.83105023,12.03967743,100,73.36170213
32.42009132,67.0475635,60,54.63829787
157.5342466,19.21920721,140,68.59574468
92.69406393,8.865646397,120,79.4893617
144.7488584,169.9143082,20,32
81.73515982,54.96837942,60,37.61702128
158.9041096,12.4911248,20,70.46808511
28.76712329,2.788402195,180,98.89361702
59.36073059,15.17354213,100,66.89361702
93.15068493,76.12937751,80,40.5106383
60.2739726,35.9073437,80,58.38297872
163.0136986,17.85469868,40,85.95744681
0,9.031962135,120,119.3191489
80.82191781,10.81536265,20,63.65957447
77.16894977,11.3481846,160,72
6.849315068,0.72080038,140,81.19148936
20.54794521,70.15627724,60,49.87234043
47.94520548,8.605785955,140,87.82978723
67.12328767,41.9277003,20,41.87234043
46.11872146,8.605785955,140,81.53191489
180.8219178,14.81800691,80,66.04255319
133.7899543,45.86507966,40,45.95744681
14.15525114,11.832958,100,95.65957447
47.48858447,8.521828151,100,57.19148936
87.67123288,17.18483957,80,80
32.42009132,13.91005979,100,97.19148936
118.2648402,139.3241483,0,37.61702128
135.1598174,23.71766059,140,42.55319149
173.0593607,15.06076198,20,58.21276596
75.34246575,9.977002232,120,83.91489362
70.3196347,6.330651519,140,93.78723404
63.47031963,125.7523057,0,46.46808511
67.12328767,59.64866637,40,38.9787234
54.79452055,41.9277003,20,43.06382979
14.15525114,17.81626477,120,81.19148936
73.97260274,8.918738087,100,78.63829787
62.10045662,125.8323609,0,27.06382979
76.71232877,125.3567767,0,30.9787234
164.8401826,16.01294755,100,59.06382979
157.0776256,15.80719606,120,58.04255319
12.32876712,16.4449591,80,91.74468085
167.1232877,15.06836368,160,65.19148936
99.08675799,14.30212079,180,71.4893617
163.9269406,19.75144963,60,104.6808511
110.5022831,141.9770065,0,22.80851064
134.2465753,139.0365105,20,22.46808511
99.08675799,15.79984713,80,75.23404255
142.9223744,54.20469508,20,35.23404255
146.5753425,44.34569494,60,45.95744681
60.73059361,15.17354213,100,66.21276596
73.51598174,8.918738087,100,88
144.7488584,35.77768938,0,23.31914894
153.4246575,11.44415223,160,71.31914894
15.98173516,1.740877534,140,91.06382979
138.3561644,139.0365105,20,38.46808511
60.73059361,10.35918965,100,72.17021277
50.2283105,59.53146576,40,36.25531915
24.20091324,8.00431133,120,107.5744681
78.53881279,67.07367316,60,47.14893617
11.87214612,16.4449591,80,93.61702128
79.9086758,30.69519658,0,43.06382979
183.1050228,3.814503683,160,75.40425532
4.566210046,5.967443694,120,86.29787234
38.81278539,3.230880418,100,96.68085106
138.8127854,14.31015713,120,61.61702128
57.07762557,17.32375712,100,71.4893617
30.1369863,2.788402195,180,100.4255319
162.1004566,19.75144963,60,69.44680851
148.4018265,13.08701683,160,61.78723404
63.01369863,125.8323609,0,34.04255319
31.05022831,11.70025498,200,92.59574468
56.16438356,41.9277003,20,50.21276596
163.9269406,19.00118387,60,62.63829787
93.60730594,67.35884486,60,43.57446809
174.4292237,17.02944858,40,50.72340426
82.19178082,43.61382307,20,45.10638298
53.88127854,16.4449591,80,68.59574468
140.6392694,11.64594258,120,62.63829787
60.2739726,4.652719219,140,81.87234043
115.5251142,83.45817623,60,30.12765957
68.94977169,11.81502033,140,74.38297872
0,10.44903831,180,86.46808511
8.219178082,44.87648853,20,45.95744681
77.16894977,125.3567767,0,31.14893617
40.63926941,43.35466855,0,81.70212766
105.0228311,121.6995136,0,43.06382979
0,8.446779072,20,77.27659574
41.55251142,43.21860241,0,73.53191489
94.06392694,76.12937751,80,37.10638298
145.6621005,35.33678451,0,27.40425532
186.7579909,5.166410528,100,69.78723404
36.52968037,3.230880418,100,88.17021277
29.22374429,2.788402195,180,101.2765957
129.6803653,19.03330461,60,58.89361702
74.88584475,8.918738087,100,86.80851064
29.22374429,2.788402195,180,105.8723404
79.9086758,29.73941052,80,65.0212766
57.99086758,5.244400411,20,56
5.02283105,5.967443694,120,92.59574468
0,6.423854053,120,77.78723404
149.3150685,12.09755332,120,51.91489362
0,9.031962135,120,120.8510638
78.53881279,5.842092681,160,80.17021277
55.70776256,41.9277003,20,45.27659574
143.3789954,18.26444766,40,58.04255319
18.26484018,66.19510017,60,48.34042553
36.98630137,3.230880418,100,87.82978723
152.0547945,6.060929827,140,67.06382979
45.20547945,64.80950046,60,39.31914894
67.57990868,12.1226673,120,12.93617021
139.7260274,4.433965303,160,90.72340426
94.06392694,22.7470318,40,78.9787234
141.0958904,197.1720807,20,20.76595745
62.10045662,129.3876515,0,22.12765957
115.5251142,48.81987897,60,52.08510638
75.79908676,8.918738087,100,101.4468085
60.73059361,15.17354213,100,53.27659574
62.10045662,15.17354213,100,81.70212766
143.8356164,12.79119164,80,55.31914894
0,5.716060413,0,77.44680851
45.20547945,8.605785955,140,97.70212766
5.02283105,5.967443694,120,82.72340426
176.2557078,24.80539752,80,107.0638298
17.35159817,11.832958,100,93.61702128
188.5844749,3.85298383,120,103.3191489
175.7990868,6.68409982,140,69.78723404
135.1598174,16.50817715,160,63.82978723
18.26484018,66.19510017,60,52.25531915
121.4611872,14.88152088,100,63.82978723
82.19178082,11.51024943,160,67.23404255
152.5114155,5.76350169,120,71.82978723
86.30136986,31.11071928,0,35.40425532
52.05479452,12.03967743,100,79.65957447
62.10045662,9.835689496,120,80.68085106
45.66210046,29.05250769,0,74.04255319
58.90410959,15.17354213,100,72.34042553
73.97260274,8.918738087,100,87.4893617
23.28767123,48.08329073,60,49.19148936
90.4109589,19.7473806,100,63.82978723
62.10045662,15.17354213,100,68.25531915
54.33789954,41.9277003,20,48.34042553
9.589041096,13.91005979,100,77.44680851
0,5.716060413,0,88.85106383
14.61187215,15.1011256,160,73.53191489
74.88584475,116.5406216,0,76.76595745
159.3607306,5.531850159,160,67.57446809
163.4703196,5.262963853,140,82.55319149
22.37442922,11.95347857,180,76.08510638
54.79452055,41.9277003,20,49.19148936
29.6803653,11.59585951,120,69.61702128
77.16894977,125.3567767,0,35.23404255
63.01369863,125.8323609,0,26.55319149
140.1826484,38.98661857,0,31.14893617
73.51598174,25.15193462,80,60.59574468
52.96803653,12.03967743,100,67.06382979
70.77625571,25.15193462,80,63.65957447
15.98173516,1.530853553,160,98.38297872
87.67123288,19.00118387,60,67.40425532
73.05936073,125.3567767,0,19.74468085
38.81278539,3.230880418,100,94.46808511
0,5.716060413,0,93.95744681
62.55707763,38.1183723,20,52.08510638
0,9.031962135,120,125.2765957
128.7671233,10.175226,160,73.87234043
126.0273973,15.87886969,100,63.65957447
38.35616438,60.50005079,20,40
109.5890411,139.5706642,0,24.5106383
16.43835616,11.832958,100,100.0851064
30.1369863,2.788402195,180,98.89361702
188.5844749,12.38839085,80,59.74468085
19.6347032,13.31803642,140,76.93617021
137.8995434,14.5552704,60,62.12765957
63.47031963,140.991498,0,32.68085106
150.6849315,5.581874658,180,71.4893617
59.8173516,35.27843082,80,62.46808511
63.92694064,13.52804808,20,72.5106383
122.8310502,137.1533785,0,26.38297872
52.96803653,6.223589597,160,95.14893617
61.64383562,66.19510017,60,40.17021277
77.62557078,125.8323609,0,32
64.38356164,80.62443078,0,37.10638298
143.3789954,44.61409727,60,36.59574468
95.43378995,67.35884486,60,43.74468085
40.63926941,94.88797894,0,37.44680851
158.9041096,5.858156131,160,75.40425532
74.42922374,125.3567767,0,34.89361702
161.1872146,19.00651986,160,72
60.2739726,23.12170075,40,64.34042553
200,1.775254735,140,72.68085106
44.29223744,12.99252885,100,83.91489362
69.40639269,116.2725891,0,49.87234043
69.40639269,14.21393673,100,58.89361702
104.109589,21.82196081,40,62.29787234
157.0776256,3.906540993,160,82.04255319
155.2511416,4.858344324,140,66.55319149
83.10502283,13.92233163,160,53.78723404
79.45205479,30.69519658,0,43.40425532
59.8173516,17.32375712,100,78.12765957
174.8858447,19.81185018,60,53.61702128
71.23287671,8.918738087,100,78.46808511
82.19178082,43.61382307,20,45.27659574
58.44748858,44.68918951,60,36.42553191
101.369863,11.70025498,200,74.89361702
175.7990868,20.50127766,60,58.21276596
52.51141553,41.9277003,20,44.59574468
158.9041096,5.413959049,160,69.61702128
23.74429224,12.03967743,100,88.85106383
0,8.446779072,20,74.04255319
80.3652968,55.66150295,40,52.93617021
28.31050228,2.788402195,180,98.72340426
82.64840183,54.96837942,60,35.57446809
87.67123288,11.82834951,160,81.87234043
172.6027397,18.21600762,20,67.57446809
127.8538813,11.48652879,120,69.44680851
62.10045662,15.17354213,100,74.55319149
133.7899543,16.33093049,160,68.42553191
169.8630137,5.749367951,180,133.2765957
41.09589041,43.21860241,0,65.53191489
139.7260274,13.2894576,200,82.55319149
41.55251142,43.21860241,0,72
157.5342466,10.01667226,120,78.29787234
5.02283105,5.967443694,120,83.40425532
75.34246575,125.8323609,0,21.78723404
147.9452055,8.170778116,160,68.42553191
54.33789954,97.75951712,0,79.31914894
141.5525114,35.64760348,0,32.34042553
18.26484018,66.19510017,60,56.85106383
73.97260274,125.6079781,0,25.0212766
123.7442922,136.0280739,20,29.61702128
181.2785388,10.27641248,180,55.14893617
36.52968037,68.32937193,80,40.68085106
58.90410959,7.72596143,140,66.89361702
16.43835616,11.52397318,200,105.3617021
59.36073059,22.59095031,0,66.38297872
58.44748858,22.59095031,0,69.10638298
82.64840183,25.82369262,0,50.55319149
50.2283105,52.79366389,40,49.0212766
62.55707763,7.72596143,140,70.46808511
9.132420091,64.03770888,60,56.85106383
149.7716895,6.293768161,160,82.04255319
21.91780822,48.08329073,60,36.93617021
34.24657534,19.71694605,100,69.44680851
74.88584475,12.01666579,120,69.10638298
99.08675799,32.52353838,0,39.31914894
86.75799087,31.11071928,0,37.95744681
82.19178082,194.3937296,20,25.53191489
178.9954338,13.09222643,140,51.06382979
144.7488584,35.7413763,0,23.4893617
26.94063927,2.788402195,180,89.70212766
138.8127854,53.50152227,40,44.08510638
5.02283105,10.17181356,100,88.17021277
143.8356164,169.9143082,20,29.61702128
66.66666667,10.45708391,20,45.10638298
78.99543379,13.69087431,20,74.72340426
0,9.031962135,120,107.7446809
80.82191781,25.82369262,0,49.0212766
77.62557078,45.7796607,80,52.25531915
73.97260274,70.53032042,60,41.53191489
72.60273973,8.918738087,100,90.21276596
17.80821918,66.19510017,60,53.95744681
148.8584475,15.21749082,140,69.10638298
71.68949772,25.15193462,80,64.85106383
81.27853881,54.96837942,60,40.34042553
158.4474886,14.88152088,100,69.95744681
78.53881279,12.03967743,100,68.25531915
80.3652968,25.82369262,0,39.14893617
49.31506849,7.7861092,20,200
80.82191781,13.92233163,160,45.10638298
59.36073059,15.17354213,100,68.93617021
60.2739726,5.244400411,20,49.87234043
125.5707763,12.14599336,140,69.78723404
6.849315068,0.72080038,140,84.59574468
87.21461187,14.21393673,100,57.87234043
96.80365297,67.35884486,60,47.14893617
0,6.423854053,120,74.89361702
11.87214612,47.9113739,60,52.93617021
10.50228311,5.682170264,120,77.27659574
21.46118721,11.95347857,180,76.25531915
9.132420091,44.87648853,20,43.57446809
152.9680365,60.99459296,40,40
68.49315068,11.81502033,140,58.55319149
137.4429224,22.1421509,60,94.12765957
26.94063927,2.788402195,180,95.82978723
87.67123288,14.21393673,100,56
75.79908676,9.978118135,120,86.80851064
63.47031963,8.918738087,100,75.74468085
172.1461187,15.11538264,0,62.9787234
15.52511416,1.740877534,140,92.59574468
79.9086758,12.19708444,100,41.70212766
57.53424658,11.81502033,140,72.34042553
120.5479452,10.34297824,120,64.85106383
83.10502283,67.18813025,60,37.10638298
57.07762557,35.27843082,80,58.04255319
159.3607306,17.47944096,80,48.5106383
76.25570776,125.8323609,0,28.42553191
151.5981735,3.752336807,200,78.46808511
11.41552511,4.816390083,80,62.80851064
173.5159817,14.23499708,0,60.76595745
75.34246575,70.53032042,60,39.4893617
174.8858447,13.55453381,0,65.36170213
91.32420091,50.12570089,60,50.04255319
73.97260274,8.918738087,100,93.61702128
65.75342466,5.239819661,20,85.44680851
47.03196347,94.94081477,0,42.04255319
74.88584475,8.918738087,100,90.21276596
138.3561644,38.98661857,0,32.5106383
74.88584475,50.66256721,40,42.04255319
97.26027397,16.57815534,80,71.82978723
161.6438356,9.818994112,180,132.7659574
37.89954338,3.230880418,100,72.85106383
16.89497717,17.81626477,120,70.80851064
71.23287671,54.14319713,40,46.46808511
60.73059361,7.72596143,140,71.4893617
71.23287671,23.20482317,40,63.82978723
32.42009132,11.70025498,200,84.76595745
157.9908676,8.405592399,100,45.78723404
61.64383562,129.3876515,0,31.65957447
77.16894977,29.73941052,80,64.17021277
58.90410959,5.779337027,20,56.34042553
130.5936073,6.07685456,120,72.34042553
56.62100457,52.79366389,40,53.27659574
167.1232877,15.06836368,160,64.85106383
18.72146119,1.740877534,140,105.7021277
15.98173516,23.34572283,60,62.46808511
72.60273973,46.16856203,60,40.17021277
62.10045662,129.3876515,0,32.68085106
146.1187215,35.65885499,0,21.78723404
116.8949772,139.3241483,0,26.55319149
181.7351598,19.04165847,40,67.40425532
35.61643836,3.230880418,100,65.36170213
136.9863014,31.237291,100,38.80851064
124.6575342,10.40692069,120,62.12765957
23.28767123,57.55940062,40,60.59574468
142.9223744,18.5221472,100,52.59574468
143.8356164,7.958852168,180,61.78723404
7.762557078,10.17181356,100,85.78723404
153.4246575,8.350450777,0,73.0212766
59.36073059,23.12170075,40,62.9787234
26.02739726,2.788402195,180,91.06382979
152.9680365,17.36385872,160,79.31914894
157.9908676,95.10357627,0,70.12765957
0,5.716060413,0,64.5106383
60.2739726,52.79366389,40,52.42553191
79.45205479,200,20,19.06382979
21.00456621,8.00431133,120,91.40425532
35.61643836,3.230880418,100,80
60.2739726,15.17354213,100,72
18.26484018,67.2083213,60,48.68085106
84.01826484,82.4584569,60,43.74468085
18.72146119,66.19510017,60,53.27659574
55.70776256,41.9277003,20,51.23404255
17.35159817,11.832958,100,103.3191489
47.03196347,6.518083095,20,77.10638298
0,10.44903831,180,76.42553191
5.02283105,5.967443694,120,76.76595745
25.57077626,74.25971648,0,42.04255319
150.2283105,2.691181795,200,80.17021277
189.0410959,8.668436801,160,107.7446809
78.08219178,29.82111186,80,68.08510638
147.4885845,3.389184468,200,81.70212766
161.1872146,18.9314862,140,56.34042553
78.99543379,69.71099508,80,50.21276596
64.84018265,55.53446883,20,42.21276596
68.49315068,56.35983607,40,35.57446809
83.10502283,10.81536265,20,73.36170213
92.23744292,67.35884486,60,38.80851064
72.60273973,8.918738087,100,71.65957447
18.72146119,9.645354107,100,88
154.7945205,4.858344324,140,70.63829787
0,8.446779072,20,88.85106383
24.65753425,12.03967743,100,84.25531915
99.08675799,35.69618532,0,40.5106383
67.12328767,52.93426146,40,51.91489362
17.80821918,1.530853553,160,96.68085106
170.3196347,18.12225022,160,63.65957447
0,9.031962135,120,118.6382979
64.38356164,8.918738087,100,90.72340426
36.52968037,4.085896146,180,80.5106383
74.42922374,108.8024838,0,49.87234043
132.8767123,15.60150314,80,68.59574468
73.51598174,125.3567767,0,21.95744681
83.56164384,2.555060472,200,79.31914894
0,5.716060413,0,94.12765957
73.97260274,64.84427224,60,43.57446809
47.48858447,69.41833265,80,46.46808511
186.7579909,3.771932921,160,115.2340426
149.7716895,11.64700916,180,65.70212766
28.31050228,59.7947818,20,53.27659574
194.9771689,13.68065856,120,60.08510638
77.16894977,29.82111186,80,68.59574468
148.8584475,127.5048586,20,42.04255319
96.80365297,15.79984713,80,72.34042553
169.4063927,28.31790156,20,54.29787234
59.8173516,35.9073437,80,54.80851064
67.12328767,52.93426146,40,39.14893617
57.99086758,5.244400411,20,63.4893617
122.3744292,14.88152088,100,60.42553191
34.70319635,67.0475635,60,47.14893617
57.99086758,5.779337027,20,48.5106383
141.0958904,4.992030698,180,67.57446809
74.88584475,8.918738087,100,70.12765957
105.0228311,4.0380418,120,63.31914894
8.675799087,11.47155966,140,68.93617021
23.74429224,74.25971648,0,37.95744681
84.47488584,67.0695733,60,47.82978723
62.55707763,125.8323609,0,26.21276596
25.57077626,2.788402195,180,85.10638298
85.84474886,12.05204484,140,69.10638298
36.98630137,3.230880418,100,89.36170213
29.6803653,2.788402195,180,108.7659574